15SPT01,STUD PULL TESTER,SEBASTIAN,SEB III,091040,1/31/2001,8/29/2001,210,3%,QA FOL,IN-ACTIVE,QA/MCAN,3,2028,AAA,TEAM,01010,YES,8/29/2001,1.1700,1/31/2001,J.AVENIDO,STUD PULL STREN,In-active due to no calibration use,,,11/29/2006
14SFG01,SYNTHESIZER FUNCTION GENERATOR,HP,3325A,2512A19997,8/10/1999,8/10/1999,0,,CAL LAB,SERVICE,STANDARD,0,HP,***,TEAM,01183,N/A,,0.0000,,,,Service only: Output is verified by Oscilloscope and 3456A Voltmeter,,2/23/2006,
15CC01,CONDUCTIVITY CONT'L,HANNA INS.,WM8930,59509,1/15/1998,7/14/1998,180,,DIE PREP,IN-ACTIVE,LOGISTICS,,,***,TEAM,,N/A,,0.0000,,,,Please enter current performance,,,
15DG05,DEPTH GAUGE,BATY,C16F/BGP2,6064,,,0,,DIE BANK,SERVICE,LOGISTICS,,,***,TEAM,,N/A,,0.0000,,,,Please enter current performance,,,
15SP02,PIND STU PULSER,DUNEGAN ENDEVCO,XP-STU,0002,1/6/1997,1/5/1998,365,20%,MCAN,IN-ACTIVE,QA/MCAN,,,***,TEAM,,N/A,,0.0000,,,,Please enter current performance,,,
15PP01,PROFILE PROJECTOR,NIKON,6C-2,55114,12/11/2002,6/9/2003,180,,4TH OPT,DEFECTIVE,QA/PDIP,2,6289,**A,TEAM,,YES,6/9/2003,40.3800,4/22/2003,R.SAVA,COPLANARITY,within tolerance,,,
15ITF01,INSULATING TEST FIXTURE,NSTU,70571000,0001,12/19/1999,12/18/2000,365,,IQC,SERVICE,CALIBRATION,5,5328,***,TEAM,,N/A,12/18/2000,0.0000,12/19/1999,,,Service only as of 19 Dec 1999,,11/13/2004,
14OPC01,PRECISION CALIBRATOR,OMEGA ENG'G,CL-505A,86690567,9/9/2004,9/9/2005,365,,CAL LAB,DEFECTIVE,STANDARD,6,3803,AAA,TEAM,01156,N/A,9/9/2002,0.0000,9/8/2001,,,input/ouput error display;defective/malfunctioning microprocessor board,2004-99.57281,9/15/2005,
14STU01,PIND STU TRANSDUCER,DUNEGAN,S140BM,A770,11/5/2001,11/5/2002,365,-77.5DB+3,CAL LAB,IN-ACTIVE,STANDARD,0,PTI,***,TEAM,,N/A,,0.0000,,,,"Within tolerance,Received on 16 November 2001, Report# 7204",,8/16/2004,
14VGK01,ELECTRICAL VACUUM GAUGE,H.RAYDIST,VT-4,58203,3/29/2000,3/3/2001,330,3%FSD,CAL LAB,IN-ACTIVE,STANDARD,0,TTECH,***,TEAM,01179,N/A,,0.0000,,,,"Status B, Work Order No. I0003410-0",,8/27/2004,
14SW13,1MG-100G STD WEIGHTS,OHAUS,1MG-100G,MC417325,8/18/1999,8/17/2000,365,,CAL LAB,IN-ACTIVE,STANDARD,0,ITDI,***,TEAM,,N/A,,0.0000,,,,Please enter current performance,,8/16/2004,
14DR02,DECADE RESISTOR,GENRAD,1433-G,33517,12/17/1997,12/17/1999,730,,CAL LAB,IN-ACTIVE,STANDARD,0,PSB,***,TEAM,01145,N/A,,0.0000,,,,Please enter current performance,,8/16/2004,
14PPG02,PROG PULSE GENERATOR,HP,8160A,2547A01513,2/2/2000,2/2/2000,0,1%,CAL LAB,SERVICE,STANDARD,8,3803,***,TEAM,01134,N/A,,0.0000,,,,Service Only: Output is verified by Oscilloscope,,,
15DTH02,DIGITAL THERMOMETER,ANRITSU,HL610,V16379,1/8/2001,7/7/2001,180,5°C,QAMCAN/EOL,IN-ACTIVE,QA/MCAN,2,2028,***,TEAM,,N/A,7/7/2001,3.1700,1/9/2001,CRIS VALEROS,TEMPERATURE,in-active as of 06 July 2001,,,
14SW01,HOOK WEIGHT SET,OHAUS,N/A,46206-01,4/4/1997,4/4/1999,730,,CAL LAB,IN-ACTIVE,STANDARD,0,ITDI,***,TEAM,,N/A,,0.0000,,,,Please enter current performance,,8/16/2004,
14SS01,STATIC SENSOR,3M,709,SS891,2/12/1998,2/12/1999,365,,PDIP,IN-ACTIVE,STANDARD,0,3M,***,TEAM,01004,N/A,,0.0000,,,,Please enter current performance,,,
14SS04,STATIC SENSOR,3M,709,SS9656,2/12/1998,6/6/2000,365,,QA/IQC,IN-ACTIVE,QA/IQC,0,3M,***,TEAM,01005,N/A,,0.0000,,,,Please enter current performance,,8/16/2004,
15SO12,DIGITIZING STORAGE OSCILLOCOPE,TEKTRONIX,468,708026,5/25/1995,5/24/1996,365,,CAL LAB,IN-ACTIVE,CALIBRATION,,,***,TEAM,01153,N/A,,0.0000,,,,Please enter current performance,,,
12ACC01,AC CALIBRATOR,FLUKE,52004,3735016,3/26/1996,3/26/1998,730,200PPM,CAL LAB,IN-ACTIVE,STANDARD,0,,***,TEAM,01137,N/A,,0.0000,,,,Please enter current performance,,,
11ACR01,AC REFERENCE STANDARD,FLUKE,510A,3770002,6/6/1996,2/3/1999,730,,CAL LAB,IN-ACTIVE,STANDARD,0,SISIR,***,TEAM,01137,N/A,,0.0000,,,,Please enter current performance,,,11/29/2006
11DCR01,DC REFERENCE STANDARD,FLUKE,732A,3705024,3/27/1998,3/26/2000,730,0.5PPM,CAL LAB,IN-ACTIVE,STANDARD,0,,***,TEAM,01131,N/A,,0.0000,,,,Please enter current performance,,,
13HIV01,HIGH IMPEDANCE VOLTMETER,FLUKE,845AB,37300013,10/2/1998,10/2/1999,365,,CAL LAB,IN-ACTIVE,STANDARD,3,TPC,***,TEAM,01139,N/A,,0.0000,,,,Please enter current performance,,,
